VUOSI;UUDENMAAN LÄÄNI;TURUN JA PORIN LÄÄNI;AHVENANMAA;HÄMEEN LÄÄNI;VIIPURIN LÄÄNI;KYMEN LÄÄNI;MIKKELIN LÄÄNI;KUOPION LÄÄNI;POHJOIS-KARJALAN LÄÄNI;KESKI-SUOMEN LÄÄNI;VAASAN LÄÄNI;OULUN LÄÄNI;LAPIN LÄÄNI;Yhteensä;;;;;;;;;;;;
1982;11045;1235;19;1959;;1188;809;733;610;730;696;803;338;20165;;;;;;;;;;;;
1983;10279;1303;15;2017;;1292;759;836;597;666;815;849;378;19806;;;;;;;;;;;;
1984;9601;1239;15;1900;;1268;746;788;655;715;791;974;479;19171;;;;;;;;;;;;
1985;10532;1395;19;2074;;1400;828;822;693;800;955;1090;548;21156;;;;;;;;;;;;
1986;10232;1310;17;1893;;1222;774;649;613;753;829;985;554;19831;;;;;;;;;;;;
1987;10547;1491;14;2167;;1482;836;841;646;778;997;1130;625;21554;;;;;;;;;;;;
1988;10965;1546;21;2125;;1380;817;851;668;722;995;1108;592;21790;;;;;;;;;;;;
1989;10262;1278;19;1969;;1297;729;638;756;708;964;1073;538;20231;;;;;;;;;;;;
1990;10070;1407;19;1934;;1099;697;581;803;707;954;952;511;19734;;;;;;;;;;;;
1991;11690;1326;19;1854;;1043;725;457;638;587;817;758;397;20311;;;;;;;;;;;;
1992;12263;1194;17;1814;;881;536;441;505;496;609;654;304;19714;;;;;;;;;;;;
1993;13809;1490;21;2251;;1187;649;443;704;630;876;806;361;23227;;;;;;;;;;;;
1994;14045;1723;14;2745;;1324;793;498;763;695;972;923;481;24976;;;;;;;;;;;;
